,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
287,thamriyell,VStreamer,Independent,[],Female,['English'],[],+ Add,+ Add,Every 1.39 Day(s),97.6k,15.8m
288,Gold Ship,VTuber,Cyber V,[],Female,['Japanese'],['3D'],2018/03/25,+ Add,Every 2.34 Day(s),827k,122.8m
289,Houshou Marine,VTuber,Hololive,"['Art', 'Chatting', 'Gaming', 'Mature', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/08/11,Active,Every 1.25 Day(s),1.8m,292.2m
290,カナメとハルキー,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 5.55 Day(s),113k,16.4m
291,伊東ライフ,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.61 Day(s),190k,23.1m
292,Kitakami Futaba,VTuber,.LIVE,[],Female,['Japanese'],['L2D'],4/5/2018,+ Add,Every 5.23 Day(s),104k,10.7m
293,Belmond Banderas,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/09/19,+ Add,Every 1.6 Day(s),395k,55.5m
294,Morinaka Kazaki,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/03/17,+ Add,Every 1.81 Day(s),261k,48.4m
295,Tsuji Motoko,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/01/02,+ Add,Every 7.33 Day(s),93.2k,21.3m
296,Mori Calliope ,VTuber,Hololive,[],Female,['English'],['L2D'],2020/09/12,Active,Every 1.21 Day(s),1.9m,231.3m
297,Kongo Iroha,VTuber,Independent,"['Chatting', 'Gaming']",Female,['Japanese'],"['3D', 'L2D']",2018/05/20,Active,Every 18.22 Day(s),98.3k,9.1m
298,Carro Pino,VTuber,.LIVE,[],Female,['Japanese'],"['3D', 'L2D']",2018/05/04,+ Add,Every 2.5 Day(s),84.3k,12.7m
299,Kizuna Ai,VTuber,Kizuna AI Inc.,"['Gaming', 'Music', 'Voice Acting']",Female,"['Chinese', 'Japanese']",['3D'],2019/06/14,Active,Every 1.35 Day(s),4.6m,594.9m
300,千羽黒乃,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.23 Day(s),84.2k,6.7m
301,Popo Kids「ポポキッズ」,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 24.26 Day(s),81k,58.7m
302,DUSTCELL,VTuber,KAMITSUBAKI STUDIO,[],Female,['Japanese'],[],2019/10/11,+ Add,Every 33.09 Day(s),359k,59.3m
