,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
423,Weatheroid Type A Airi,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/05/17,+ Add,Every 3.79 Day(s),133k,12.4m
424,Lyrica,VTuber,Independent,[],Female,"['English', 'Filipino']",['L2D'],2020-06-05,Active,Every 1.06 Day(s),133k,3.2m
425,Yamagami Karuta,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/10/19,+ Add,Every 1.74 Day(s),161k,13.3m
426,hololive Indonesia,VTuber,Hololive,[],Female,['Indonesian'],[],+ Add,+ Add,Every 10.33 Day(s),239k,7.5m
427,somunia room,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 38.62 Day(s),99.4k,10.4m
428,シャンデリ【Claw Machine Japan】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 8.24 Day(s),118k,36m
429,Kaguya Luna,VTuber,VIC,['Music'],Female,['Japanese'],['3D'],2017/09/12,Active,Every 17.6 Day(s),930k,109.4m
430,Ratna Petit,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/08/13,+ Add,Every 1.52 Day(s),340k,57.4m
431,幸祜 – koko –,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 6.72 Day(s),158k,23.1m
432,Amicia Michella,VTuber,Nijisanji,[],Female,['Indonesian'],['L2D'],2019/12/21,+ Add,Every 1.58 Day(s),72.2k,3.9m
433,Airani Iofifteen,VTuber,Hololive,"['Art', 'ASMR', 'Chatting', 'Gaming', 'Music']",Female,"['English', 'Indonesian', 'Japanese']",['L2D'],2020/04/12,Active,Every 1.82 Day(s),501k,14.7m
434,Nekoyama Sena,VTuber,Yume Reality,"['Art', 'Chatting', 'Gaming', 'Music']",Female,['Indonesian'],['L2D'],08/26/2020,Active,Every 1.38 Day(s),272k,7.9m
435,Kaheru,VTuber,Independent,[],Female,"['English', 'Filipino', 'Japanese']",['3D'],2018-05-16,Active,Every 3.82 Day(s),233k,12.7m
436,Mana Renewal,VTuber,Independent,[],Female,['Russian'],['3D'],2018/01/26,+ Add,Every 5.13 Day(s),105k,5m
437,Live Animation Heart x Algorhythm,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 3.25 Day(s),102k,10m
438,Gorilla,VTuber,Independent,[],Male,['Japanese'],"['3D', 'L2D']",2018/01/13,+ Add,Every 21.8 Day(s),92.7k,7.9m
439,Aizono Manami,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/04/07,+ Add,Every 4.63 Day(s),169k,10.9m
440,Sister Cleaire,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/06/05,+ Add,Every 1.34 Day(s),406k,51.4m
441,Evgen Les/Ninel Akimova,VTuber,Independent,[],Female,[],[],12.07.2011,+ Add,Every 88.47 Day(s),95.6k,7.2m
442,猫小夜くろえ,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.24 Day(s),74.4k,5.9m
443,And Uge,VTuber,VApArt (ブイアパ),[],Female,['Japanese'],['L2D'],2019/02/16,+ Add,Every 1.01 Day(s),169k,24.2m
444,Ayunda Risu,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,"['English', 'Indonesian']",['L2D'],2020/04/10,Active,Every 1.21 Day(s),588k,38.9m
445,Hatsune Miku (LS),VTuber,Independent,['Music'],Female,['Japanese'],['3D'],2019/02/22,Active,Every 12.73 Day(s),71.3k,4.8m
446,Ashizawa Saki,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 4.57 Day(s),230k,60.8m
447,Hakase Fuyuki,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/07/06,+ Add,Every 1.19 Day(s),336k,59m
448,Nishizono Chigusa,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2020/08/10,+ Add,Every 0.8 Day(s),315k,32.9m
449,Hakari Kanna,VTuber,Starry Sky Academy,[],Female,['Japanese'],"['3D', 'L2D']",2018/07/12,+ Add,Every 9.15 Day(s),109k,7.3m
450,Nakiri Ayame,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/09/03,Active,Every 5.25 Day(s),1.2m,64.7m
451,Hizuki Miu,VTuber,VRIDOL,[],Female,['Japanese'],"['3D', 'L2D']",2018/10/21,+ Add,Every 1.8 Day(s),186k,8.5m
452,Arurandeisu,VTuber,Hololive,[],Male,['Japanese'],['L2D'],2019/09/08,+ Add,Every 0.59 Day(s),150k,7.7m
453,dakooters,VStreamer,Independent,['Gaming'],Agender,['English'],['L2D'],+ Add,Active,Every 34.85 Day(s),357.9k,62.4m
454,Yuhi Riri,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/05/13,+ Add,Every 2.03 Day(s),213k,26.3m
455,yueko__,VTuber,Independent,[],Female,['English'],['L2D'],+ Add,Active,Every 2.6 Day(s),84.5k,1.8m
456,Kagami Kira,VTuber,Hololive,[],Male,['Japanese'],['L2D'],2019/06/09,+ Add,Every 2.93 Day(s),74.9k,790.8k
457,EeveeA,VStreamer,Independent,"['Gaming', 'LGBTQ+']",Female,['English'],['L2D'],10/28/2020,Active,Every 17.6 Day(s),91.5k,3m
458,Vezypoo,VStreamer,Independent,"['Anime', 'Manga', 'Voice Acting']",Male,['English'],['3D'],01/05/2018,Active,Every 1.16 Day(s),849.1k,119.6m
459,Jitomi Monoe,VTuber,Vox Monsters Project,[],Female,['Japanese'],['L2D'],2020/03/19,+ Add,Every 1.38 Day(s),103k,3.9m
460,Takamiya Rion,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/08/09,+ Add,Every 0.98 Day(s),429k,78m
461,Onomachi Haruka,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/01/22,+ Add,Every 1.04 Day(s),181k,20.8m
462,Natsuiro Matsuri,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/06/01,Active,Every 1.11 Day(s),1.2m,100.3m
463,Rikka,VTuber,Hololive,[],Male,['Japanese'],"['3D', 'L2D']",2019/10/20,+ Add,Every 1.59 Day(s),198k,12.2m
464,Sentan,VTuber,Independent,['Gaming'],Male,['Japanese'],['PNG'],+ Add,Active,Every 0.37 Day(s),206k,90.6m
465,Annoying Orange,VTuber,Independent,[],Male,['English'],"['3D', 'GIF', 'JPEG', 'PNG']",2009-10-09,Active,Every 2.16 Day(s),11m,7.6b
466,怪奇！YesどんぐりRPG,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 0.95 Day(s),88.6k,42m
467,鹿乃チャンネルofficial,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 12.58 Day(s),344k,54.5m
468,Makaino Ririmu,VTuber,Nijisanji,"['Chatting', 'Gaming']",Female,['Japanese'],['L2D'],2018/08/02,Active,Every 1.8 Day(s),270k,30.8m
469,Nekomata Okayu,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/04/06,Active,Every 1.27 Day(s),1.3m,151.1m
470,松村上久郎,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 3.13 Day(s),150k,15m
471,ZEA Cornelia,VTuber,Nijisanji,[],Female,['Indonesian'],['L2D'],2019/09/13,+ Add,Every 2.21 Day(s),85k,3.6m
472,SE:A,VTuber,Independent,[],Female,['Korean'],['L2D'],2018/07/10,+ Add,Every 1.28 Day(s),74.5k,14m
473,Yozora Mel,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/05/13,Active,Every 3.04 Day(s),669k,21.1m
474,Enomiya Milk,VTuber,NoriPro,[],Female,['Japanese'],['L2D'],2020/04/07,+ Add,Every 3.06 Day(s),106k,2.9m
475,Inui Shinichiro,VTuber,Independent,[],Male,['Japanese'],"['3D', 'L2D']",2018/01/15,+ Add,Every 1.9 Day(s),83.5k,4.9m
476,Emma August,VTuber,Nijisanji,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],['L2D'],+ Add,Active,Every 2.79 Day(s),198k,10.6m
477,Suwie,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 6.76 Day(s),196k,4.8m
478,英リサ,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.3 Day(s),113k,8.1m
479,Izumo Kasumi,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/06/07,+ Add,Every 7.2 Day(s),113k,3.6m
480,Himesaki Yuzuru,VTuber,NoriPro,[],Female,['Japanese'],['L2D'],2020/09/15,+ Add,Every 2.75 Day(s),78.2k,2.2m
481,AZKi,VTuber,Hololive,[],Female,['Japanese'],['3D'],2018/11/15,+ Add,Every 5.06 Day(s),556k,25m
482,sensenzawa,VStreamer,Independent,[],Female,['English'],[],+ Add,Retired,Every 27.87 Day(s),1.3m,117.6m
483,Lunaria Ayaren ,VStreamer,EpyPro,"['Art', 'Chatting', 'Cooking', 'Gaming', 'LGBTQ+']",Female,"['English', 'Spanish']",['3D'],05/16/2019,Active,Every 2.32 Day(s),89.5k,1.9m
484,Gwelu Os Gar,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2019/11/30,+ Add,Every 1.53 Day(s),349k,74.1m
485,FlashyKlau ,VStreamer,Independent,"['Anime', 'Art', 'Chatting', 'Gaming', 'Manga', 'Mature']",Female,['English'],['3D'],"Jan 2020, Re-debut 27th Feb 2021",Active,Every 1.57 Day(s),637.2k,11.2m
486,すあだちゃんねる,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 8.24 Day(s),76.8k,16.3m
487,ArtsyVRC,VTuber,Independent,"['ASMR', 'Chatting', 'LGBTQ+']",Male,"['English', 'French']",['3D'],+ Add,Active,Every 1.8 Day(s),207.9k,18.1m
488,橘ひなの / Hinano Tachibana,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 0.92 Day(s),236k,29.5m
489,Evelyn,VTuber,Independent,['Gaming'],Female,"['English', 'Indonesian', 'Japanese']",['L2D'],2019/01/13,Active,Every 2.5 Day(s),73.8k,2.2m
490,神成きゅぴ,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.72 Day(s),134k,7.8m
491,Tenkai Tukasa,VTuber,BANs,[],Male,['Japanese'],['L2D'],2018/06/02,+ Add,Every 0.93 Day(s),254k,60.1m
492,Hatoba Tsugu,VTuber,Independent,[],Female,['Japanese'],[],2018/02/28,+ Add,Every 57.75 Day(s),201k,10.5m
493,Kureiji Ollie,VTuber,Hololive,"['Chatting', 'Gaming']",Female,"['English', 'Indonesian', 'Japanese']",['L2D'],12/04/2020,Active,Every 1.1 Day(s),936k,39.4m
494,Taka Radjiman,VTuber,Nijisanji,[],Male,['Indonesian'],['L2D'],2019/09/13,+ Add,Every 1.15 Day(s),95.3k,6.1m
495,Kenmochi Toya,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/03/14,+ Add,Every 4.85 Day(s),516k,86.6m
496,Ange Katrina,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/03/23,+ Add,Every 3.12 Day(s),585k,83.5m
497,Sasaki Saku,VTuber,Nijisanji,['Gaming'],Female,['Japanese'],"['3D', 'L2D']",2018/07/07,Active,Every 1.68 Day(s),676k,120.1m
498,Isekaijoucho,VTuber,KAMITSUBAKI STUDIO,[],Female,['Japanese'],['L2D'],2019/12/09,+ Add,Every 10.86 Day(s),158k,26.6m
499,Himemori Luna,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2020/01/04,Active,Every 1.07 Day(s),751k,42m
